Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
,5524,30/06/2017,Lightsource Renewable Energy ,Cwrt Henllys Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Church Farm, Cwm Lane, Henllys, Cwmbran, Gwent",Torfaen,Wales,Wales,NP44 7AS,"325,372","191,949",Torfaen County Borough Council,15/P/00434,,,,,,22/07/2015,,,,,,,16/06/2016,,,,,29/10/2016,29/12/2016
,5531,26/05/2017,Lightsource Renewable Energy,Land to North West of Lodge Farm (Park Farm),Solar Photovoltaics,4,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Land To North West Of Lodge Fa, Lodge Hill, Caerleon",Newport,Wales,Wales,NP18 3BX,"331,406","191,683",Newport City Council,15/0902,,,,,,23/07/2015,,,,,,,08/02/2016,,,,08/02/2021,05/12/2016,03/03/2017
,5540,21/03/2017,Anesco,Nanthenfoel Farms,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Land At Nanthenfoel Farm, Creuddyn Bridge, Lampeter",Ceredigion,Wales,Wales,SA48 8AZ,"254,014","252,465",Ceredigion County Council,A150516,,,,,,27/07/2015,,,,,,,18/11/2015,,,,18/11/2020,30/11/2016,15/03/2017
,5544,04/05/2016,Global Renewables Construction,Tir Nyth Soalr Park,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Refused,Application Refused,Land To The South West (0.1 Km) Of Bryn Rhedyn And To The North (0.15 Km) Of Nant Y Fedw Farm Bedlinog,Merthyr Tydfil,Wales,Wales,CF46 6UF,"308,906","200,688",Merthyr Tydfil County Borough Council,P/15/0254,,,,,,30/07/2015,,31/03/2016,,,,,,,,,,,
,5546,04/03/2015,Lightsource Renewable Energy,Eastern Site,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Refused,Application Refused,"Land to NW of Lodge Farm, Lodge Hill, Caerleon",Newport,Wales,Wales,NP18 3DL,"332,172","192,076",Newport City Council,15/0903,,,,,,22/07/2015,,08/02/2016,,,,,,,,,,,
,5548,23/11/2016,SBC Renewables,Corntown Farm,Solar Photovoltaics,3.4,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Corntown Farm, Corntown, Bridgend, Mid Glamorgan",Vale of Glamorgan,Wales,Wales,CF35 5BB,"293,814","176,736",Vale of Glamorgan Council,2015/00859/FUL,,,,,,22/07/2015,,,,,,,20/11/2015,,,,20/11/2020,15/10/2016,15/03/2017
,5555,24/10/2016,Associated British Ports,ANP Newport Wind Turbine,Wind Onshore,2.3,n/a,,,,2.3,2,126,n/a,Operational,Operational,"Land To South Of South Dock, Alexandra Docks, And Adjacent to River Usk, East Way Road",Newport,Wales,Wales,NP20 2UW,"332,583","184,564",Newport City Council,15/0839,,,,,,24/07/2015,,,,,,,30/09/2015,,,,30/09/2018,31/03/2016,15/08/2016
,5560,30/01/2017,Elgin Energy EsCo,Berthlwyd Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Under Construction,Under Construction,"Berthlwyd Farm, Maendy Road, Penycoedcae, Pontypridd",Rhondda Cynon Taff,Wales,Wales,CF37 1PS,"307,796","188,016",Rhondda Cynon Taff County Borough Council,15/0777/10,,,,,,01/06/2015,,,,,,,17/03/2016,,,,17/03/2021,12/12/2016,
,5564,23/12/2016,SEP Solar,Wood Farm Solar Park (linked site),Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Appeal Refused,Application Refused,"Opp. Kingston Lane, Manor Farm, Deeside Lane, Sealand, Chester",Flintshire,Wales,Wales,CH1 6BP,"335,816","367,450",Flintshire County Council,53687,APP/A6835/A/16/3151112,,,,,11/05/2015,,04/04/2016,13/07/2016,,14/12/2016,,,,,,,,
,5565,23/12/2016,SEP Solar,Banks Farm Solar Park (linked site),Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Appeal Refused,Application Refused,"Deeside Lane, Sealand, Chester",Flintshire,Wales,Wales,CH1 6BQ,"367,788","334,867",Flintshire County Council,53686,APP/A6835/A/16/3151110,,,,,11/05/2015,,04/04/2016,13/07/2016,,14/12/2016,,,,,,,,
