competence,category,IPCC,BaseYear,1990,1995,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WG,Business,1A2b_Non-Ferrous_Metals,227.63,227.63,263.20,261.45,277.72,265.84,277.89,268.44,232.75,171.06,171.80,187.44,173.58,130.67,86.18,82.50,77.20,78.74,52.83,53.71,51.34
WG,Business,1A2c_Chemicals,285.22,285.22,367.28,390.64,426.84,452.19,448.25,408.75,406.76,399.86,352.75,381.61,367.57,301.37,232.06,262.17,232.29,211.32,200.25,220.95,242.71
WG,Business,1A2d_Pulp_Paper_Print,159.61,159.61,189.16,179.62,192.88,231.72,223.41,205.30,201.09,179.45,233.82,172.59,134.38,95.81,81.42,100.69,97.21,93.15,131.00,136.85,129.11
WG,Business,1A2e_food_processing_beverages_and_tobacco,431.14,431.14,342.77,242.40,246.73,223.01,235.46,192.16,180.00,176.95,160.97,142.74,169.05,156.19,143.58,165.53,163.75,155.49,154.84,152.61,158.44
WG,Business,1A2f_Non-metallic_minerals,510.23,510.23,379.92,350.05,317.64,298.22,352.74,353.30,342.43,345.82,269.27,376.07,378.28,298.70,187.01,157.16,184.38,227.17,244.78,280.52,287.55
WG,Business,1A2gvii_Off-road_vehicles_and_other_machinery,464.71,464.71,475.37,476.75,476.30,476.21,477.66,479.01,480.17,512.40,503.83,514.14,525.53,513.50,387.86,385.08,333.29,396.06,317.95,346.92,355.44
WG,Business,1A2gviii_Other_manufacturing_industries_and_construction,3207.81,3207.81,1904.91,1997.96,2737.67,4138.50,3612.54,2693.79,1851.65,2282.92,1906.75,1806.71,1669.94,1376.68,1323.32,1668.09,1524.80,1436.65,1492.80,1345.18,1288.30
WG,Business,1A4ai_Commercial/Institutional,552.93,552.93,604.52,474.96,504.58,541.13,528.81,444.53,481.65,511.95,454.49,410.89,392.56,575.30,476.99,511.47,503.09,513.84,530.03,452.51,474.22
WG,Business,2B1_Chemical_Industry:Ammonia_production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WG,Business,2B8a_Methanol_production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WG,Business,2B8g_Petrochemical_and_carbon_black_production:Other,472.83,472.83,20.58,19.24,20.03,14.48,14.48,14.48,14.48,14.48,14.48,14.95,14.60,15.42,13.86,13.64,13.79,13.95,13.34,14.52,14.40
WG,Business,2D1_Lubricant_Use,12.71,12.71,14.00,10.34,9.66,10.19,10.76,10.33,10.98,12.53,8.99,8.03,7.00,3.56,3.64,5.09,3.26,1.69,2.15,1.89,0.36
WG,Business,2D4_Other_NEU,0.00,0.00,41.82,17.35,0.00,1.75,0.00,18.54,18.04,45.99,0.00,0.00,0.00,11.84,1.04,23.81,13.48,12.92,10.13,15.30,0.00
WG,Business,2E1_Integrated_circuit_or_semiconductor,0.29,0.81,0.29,1.31,1.51,1.75,1.07,0.59,0.59,0.52,0.50,0.53,0.55,0.56,0.58,0.60,0.61,0.67,0.74,0.82,0.90
